Periodo,Total a/  ,CETES a/  ,BONDES b/  ,UDIBONOS a/  ,Bonos a tasa fija a/  ,Otros valores c/  
1990,161433,72001,64513,0,0,24919
1991,171654,72658,57979,0,0,41017
1992,134755,59338,36847,0,0,38570
1993,138318,81431,17036,0,0,39852
1994,228885,40689,8316,0,0,179881
1995,136000,48590,44970,0,0,42440
1996,161572,62114,67849,5357,0,26252
1997,272210,137813,81768,36678,0,15951
1998,353240,127600,151836,62833,0,10970
1999,546324,129045,337271,80008,0,1
2000,716839,175069,420256,86645,34870,0
2001,762838,196674,348988,94847,122330,0
2002,875640,197439,343345,99768,235089,0
2003,1024457,212913,355994,94651,360899,0
2004,1084463,251498,316299,89800,426867,0
2005,1259775,300028,294786,101607,563353,0
2006,1767910,358824,204505.712,170705,814660,0
2007,2082398,352644,355150.314,258124,975812,0
2008,2361763,368912,433778.933,350616,1148938,0
2009,2767947,512568,468387.865,466403,1299735,0
2010,3152934,557123,400249,583071,1612492,0
2011,3875915,696022,697613,703112,1779168,0
2012,4663085.226,811949.233,906536.69,887076.103,2057523.2,0
2013,5150496.362,952083.493,1062618.241,940121.458,2195673.17,0
2014,5935661.976,1010576.886,1158342.391,1128037.719,2638704.98,0
2015,6199023.38,865339.287,1233710.494,1229573.679,2870399.92,0
2016,5977948.876,762360.517,1157862.012,1290933.077,2766793.27,0
2017,6443807.915,884562.657,1261073.78,1458799.198,2839372.28,0
